seed,acc_stack_60_train,macro_f1_stack_60_train,acc_stack_80_trainval,macro_f1_stack_80_trainval
1,0.9079754601226994,0.9078635280554095,0.9233128834355828,0.9233363930643499
7,0.9386503067484663,0.9388327721661055,0.941717791411043,0.9418793326793011
13,0.9388379204892966,0.9382071040125739,0.9357798165137615,0.9353136341234215
21,0.949685534591195,0.9493090836163719,0.9528301886792453,0.952664100271322
42,0.9327217125382263,0.9326785980533746,0.9602446483180428,0.9602581618132948
84,0.9141104294478528,0.9139759617370459,0.9202453987730062,0.9201495073054705
